cities,areas,rooms
city-0,area-5,"{'name': 'frssuftbyook', 'phone': '1303067321', 'price': 1000}"
city-0,area-5,"{'name': 'pakrwcatee', 'phone': '2823230222', 'price': 1500}"
city-0,area-5,"{'name': 'omonwmjequvvzs', 'phone': '1239787139', 'price': 2500}"
city-0,area-5,"{'name': 'oyhhhuurg', 'phone': '8831021120', 'price': 1000}"
city-0,area-5,"{'name': 'nfjgmwheedoj', 'phone': '1931274417', 'price': 1500}"
city-0,area-6,"{'name': 'jbusudoufjs', 'phone': '1354458145', 'price': 1500}"
city-0,area-6,"{'name': 'cbixroou', 'phone': '2123317764', 'price': 1000}"
city-0,area-6,"{'name': 'ikujdarhny', 'phone': '8906946959', 'price': 2500}"
city-0,area-6,"{'name': 'csnoczr', 'phone': '3740481028', 'price': 2500}"
city-0,area-6,"{'name': 'zvyggmjr', 'phone': '6124362989', 'price': 1000}"
city-0,area-6,"{'name': 'facmecmepq', 'phone': '1756822690', 'price': 1500}"
city-0,area-6,"{'name': 'dmbkvwltp', 'phone': '5196460791', 'price': 2000}"
city-0,area-7,"{'name': 'nihsapvvp', 'phone': '6224715141', 'price': 2500}"
city-0,area-7,"{'name': 'qetwfbghs', 'phone': '6839350370', 'price': 2000}"
city-0,area-7,"{'name': 'whutpzc', 'phone': '3202291854', 'price': 1500}"
city-0,area-7,"{'name': 'jmqnaxxg', 'phone': '2001747188', 'price': 1000}"
city-0,area-7,"{'name': 'ytogisprqr', 'phone': '5219491714', 'price': 1500}"
city-0,area-7,"{'name': 'mkilpwf', 'phone': '6989225551', 'price': 1000}"
city-0,area-7,"{'name': 'rhwngujbpih', 'phone': '8919707899', 'price': 1500}"
city-0,area-7,"{'name': 'idupqnmomols', 'phone': '5766888164', 'price': 2000}"
city-0,area-8,"{'name': 'uazibutizs', 'phone': '7761066574', 'price': 2500}"
city-0,area-8,"{'name': 'tdvmcausxn', 'phone': '3921361675', 'price': 2500}"
city-0,area-8,"{'name': 'gymtetuuapdb', 'phone': '9536837326', 'price': 1500}"
city-0,area-8,"{'name': 'bynvilaujvvo', 'phone': '7163279850', 'price': 2000}"
city-0,area-9,"{'name': 'kgrbkybsd', 'phone': '6283403344', 'price': 2500}"
city-0,area-9,"{'name': 'tjxxidzniqaucj', 'phone': '5954942282', 'price': 1500}"
city-0,area-9,"{'name': 'zcclfloqe', 'phone': '6243710301', 'price': 2500}"
city-0,area-9,"{'name': 'tkvnnwunkc', 'phone': '6089560481', 'price': 1000}"
city-0,area-9,"{'name': 'scxwqvawbjotsz', 'phone': '3903097030', 'price': 2000}"
city-0,area-9,"{'name': 'siefrrt', 'phone': '3150375455', 'price': 1500}"
city-0,area-9,"{'name': 'zdqfylqmx', 'phone': '9402048495', 'price': 2000}"
city-0,area-9,"{'name': 'juymdpma', 'phone': '4420483636', 'price': 1500}"
city-1,area-0,"{'name': 'gqttpdzocfd', 'phone': '3998159494', 'price': 2500}"
city-1,area-0,"{'name': 'nutiapmf', 'phone': '4541766798', 'price': 1000}"
city-1,area-0,"{'name': 'vwnjfwx', 'phone': '2184020982', 'price': 2000}"
city-1,area-0,"{'name': 'iqmqvvhftwe', 'phone': '6954007261', 'price': 1000}"
city-1,area-0,"{'name': 'wfkqaskeivuif', 'phone': '7836827195', 'price': 1500}"
city-1,area-0,"{'name': 'xjcyiusxqfjf', 'phone': '2388109058', 'price': 1000}"
city-1,area-0,"{'name': 'ucexahjjpfjkcw', 'phone': '5767365001', 'price': 2000}"
city-1,area-0,"{'name': 'xbgivqyasb', 'phone': '7240025797', 'price': 2500}"
city-1,area-1,"{'name': 'zxakzpgpczjcwr', 'phone': '1354487292', 'price': 1000}"
city-1,area-1,"{'name': 'nenkzafuqzgb', 'phone': '9309444862', 'price': 1000}"
city-1,area-1,"{'name': 'gkpygjrrl', 'phone': '4875314275', 'price': 1500}"
city-1,area-1,"{'name': 'ifqdhrtfaklrkt', 'phone': '6217691997', 'price': 1500}"
city-1,area-1,"{'name': 'iziilgkbbnmndp', 'phone': '7146647132', 'price': 2500}"
city-1,area-1,"{'name': 'lmmstxrtnokf', 'phone': '1975772580', 'price': 1500}"
city-1,area-1,"{'name': 'mgaumnbbcawou', 'phone': '5073929502', 'price': 1500}"
city-1,area-1,"{'name': 'rmcyysymouyr', 'phone': '5519987989', 'price': 1500}"
city-1,area-1,"{'name': 'syfomwjon', 'phone': '4138237753', 'price': 2500}"
city-1,area-2,"{'name': 'rvnguit', 'phone': '9513322309', 'price': 1000}"
city-1,area-2,"{'name': 'wsjldkoh', 'phone': '6227475884', 'price': 1500}"
city-1,area-2,"{'name': 'mbpvtfdcncx', 'phone': '5260146822', 'price': 1500}"
city-1,area-2,"{'name': 'ouzvuiube', 'phone': '3511281659', 'price': 1000}"
city-1,area-2,"{'name': 'qpwfekb', 'phone': '7572804783', 'price': 2500}"
city-1,area-2,"{'name': 'ndokbafydohx', 'phone': '3727533363', 'price': 1500}"
city-1,area-2,"{'name': 'ilmrisia', 'phone': '5506213763', 'price': 2000}"
city-1,area-2,"{'name': 'azjkckj', 'phone': '8819594565', 'price': 1500}"
city-1,area-2,"{'name': 'bkzfquurxkgwj', 'phone': '5890872064', 'price': 1500}"
city-1,area-2,"{'name': 'tzvexqy', 'phone': '4208406712', 'price': 2500}"
city-1,area-3,"{'name': 'givjceurm', 'phone': '6450250338', 'price': 1500}"
city-1,area-3,"{'name': 'otmkcvcntg', 'phone': '6646437583', 'price': 2000}"
city-1,area-3,"{'name': 'ceqgevahpkt', 'phone': '5046937951', 'price': 2500}"
city-1,area-3,"{'name': 'jqlqlytjbe', 'phone': '7575986800', 'price': 1000}"
city-1,area-3,"{'name': 'wijpaapriakm', 'phone': '3209129594', 'price': 1000}"
city-1,area-3,"{'name': 'qlsdnnqv', 'phone': '3137813029', 'price': 2000}"
city-1,area-4,"{'name': 'drnwqutpe', 'phone': '6941738288', 'price': 1500}"
city-1,area-4,"{'name': 'pdiuitdthdwe', 'phone': '1417570301', 'price': 1500}"
city-1,area-4,"{'name': 'xkvcpyzabnkp', 'phone': '8161382015', 'price': 1000}"
city-1,area-4,"{'name': 'agtkmoqx', 'phone': '8609620150', 'price': 2500}"
city-1,area-4,"{'name': 'rudrvtggz', 'phone': '7472201909', 'price': 1000}"
city-1,area-5,"{'name': 'ejdsjul', 'phone': '6342484301', 'price': 1500}"
city-1,area-6,"{'name': 'pugkvuyrnktthi', 'phone': '6403449726', 'price': 2000}"
city-1,area-7,"{'name': 'plzndql', 'phone': '2592241842', 'price': 1000}"
city-1,area-7,"{'name': 'dffnnaepjzke', 'phone': '6013718467', 'price': 1000}"
city-1,area-7,"{'name': 'qypezwtgwfkz', 'phone': '2552296297', 'price': 2000}"
city-1,area-7,"{'name': 'ewyujvdxjw', 'phone': '6996377348', 'price': 1000}"
city-1,area-7,"{'name': 'wnqaylplzmuol', 'phone': '9813936160', 'price': 1000}"
city-1,area-7,"{'name': 'qfbaawvzql', 'phone': '2891079253', 'price': 1000}"
city-1,area-7,"{'name': 'bmrhcwnnipr', 'phone': '9719336511', 'price': 1500}"
city-1,area-7,"{'name': 'soovyolsxxpu', 'phone': '8614469400', 'price': 1000}"
city-1,area-7,"{'name': 'uptpaotbbof', 'phone': '1988826603', 'price': 2500}"
city-1,area-7,"{'name': 'qigkvpu', 'phone': '2817596083', 'price': 2000}"
city-1,area-8,"{'name': 'wdehzyqo', 'phone': '7740969508', 'price': 2500}"
city-1,area-8,"{'name': 'rmylsrpccc', 'phone': '9272343240', 'price': 1500}"
city-1,area-8,"{'name': 'fnlkfltz', 'phone': '3447347368', 'price': 2000}"
city-1,area-8,"{'name': 'owqdoqxxbzk', 'phone': '1348570892', 'price': 1000}"
city-1,area-8,"{'name': 'jfsobcqtb', 'phone': '2966109933', 'price': 2000}"
city-1,area-8,"{'name': 'omjlxnk', 'phone': '7163308985', 'price': 1000}"
city-1,area-8,"{'name': 'vqjolbhkg', 'phone': '4043426859', 'price': 1000}"
city-1,area-8,"{'name': 'dzewacb', 'phone': '9372507945', 'price': 1000}"
city-1,area-9,"{'name': 'tdmuryi', 'phone': '7472551176', 'price': 1000}"
city-2,area-0,"{'name': 'opajznkqvflpxn', 'phone': '9599411474', 'price': 1500}"
city-2,area-1,"{'name': 'syfbmafyc', 'phone': '8424487523', 'price': 1000}"
city-2,area-1,"{'name': 'vuindbwhs', 'phone': '3281528163', 'price': 2500}"
city-2,area-1,"{'name': 'kljrchyn', 'phone': '4068574868', 'price': 1500}"
city-2,area-1,"{'name': 'yntdywdmzteu', 'phone': '9573065137', 'price': 1500}"
city-2,area-1,"{'name': 'ssufkymbixnoaa', 'phone': '7160190826', 'price': 2500}"
city-2,area-1,"{'name': 'mygfzvcgk', 'phone': '3824006841', 'price': 1500}"
city-2,area-1,"{'name': 'axchcnjixz', 'phone': '3862168688', 'price': 2000}"
city-2,area-2,"{'name': 'jeikaujxmgzy', 'phone': '5294814802', 'price': 2500}"
city-2,area-3,"{'name': 'ypjvlpfqhrpn', 'phone': '3907151712', 'price': 1500}"
city-2,area-3,"{'name': 'qlgrhjmp', 'phone': '5921968812', 'price': 2000}"
city-2,area-3,"{'name': 'xtpbukzchm', 'phone': '4061397637', 'price': 2500}"
city-2,area-3,"{'name': 'zcvmaecygc', 'phone': '7653827424', 'price': 2000}"
city-2,area-3,"{'name': 'ewhusdnjlabfp', 'phone': '2299527127', 'price': 2500}"
city-2,area-3,"{'name': 'ctcyiiqoeyejgt', 'phone': '2003307231', 'price': 2000}"
city-2,area-3,"{'name': 'wwzbdquz', 'phone': '2298146890', 'price': 2500}"
city-2,area-4,"{'name': 'hrcbfvksesdzcm', 'phone': '9575652850', 'price': 1000}"
city-2,area-4,"{'name': 'gdmtkwhp', 'phone': '4662202031', 'price': 2000}"
city-2,area-5,"{'name': 'ksynjtlbnkvuxp', 'phone': '1420254674', 'price': 2500}"
city-2,area-5,"{'name': 'lyelcrfn', 'phone': '6377655371', 'price': 2000}"
city-2,area-5,"{'name': 'cqurfptgxjeoge', 'phone': '8947932279', 'price': 2500}"
city-2,area-5,"{'name': 'hbspqnurmicp', 'phone': '7951952952', 'price': 1000}"
city-2,area-5,"{'name': 'pzddgqlzw', 'phone': '9026678727', 'price': 2500}"
city-2,area-6,"{'name': 'losjkcwnciw', 'phone': '1038229669', 'price': 1000}"
city-2,area-6,"{'name': 'ljwxuoxpg', 'phone': '2716847690', 'price': 2000}"
city-2,area-6,"{'name': 'ftbhbydnlrofk', 'phone': '4135987511', 'price': 1000}"
city-2,area-6,"{'name': 'xjcticarnhdx', 'phone': '1731026343', 'price': 2000}"
city-2,area-6,"{'name': 'bsakiidtdpg', 'phone': '1272917754', 'price': 1000}"
city-2,area-7,"{'name': 'hztiuez', 'phone': '2586989339', 'price': 1500}"
city-2,area-8,"{'name': 'ttvaofiacipe', 'phone': '6974358875', 'price': 1000}"
city-2,area-8,"{'name': 'vjnlftxawjbm', 'phone': '1403128703', 'price': 2500}"
city-2,area-8,"{'name': 'xniqrkq', 'phone': '7215525223', 'price': 1500}"
city-2,area-8,"{'name': 'rhnkdpyrjtuvtm', 'phone': '9560656641', 'price': 2000}"
city-2,area-8,"{'name': 'nvcpcafksvdhkb', 'phone': '3284566614', 'price': 2500}"
city-2,area-8,"{'name': 'afjoomqcb', 'phone': '5229877682', 'price': 2500}"
city-2,area-9,"{'name': 'gktuezdcfajrp', 'phone': '3103341339', 'price': 2500}"
city-2,area-9,"{'name': 'smfcczaysy', 'phone': '6168203619', 'price': 1000}"
city-2,area-9,"{'name': 'cqatkka', 'phone': '3890064788', 'price': 2000}"
city-2,area-9,"{'name': 'eagsiscxfzky', 'phone': '6149495493', 'price': 2500}"
city-2,area-9,"{'name': 'xcdzjustjkrqpj', 'phone': '7720714899', 'price': 1000}"
city-3,area-0,"{'name': 'rqcdqfpyllmrkm', 'phone': '9506073557', 'price': 2500}"
city-3,area-0,"{'name': 'onvycqndssjje', 'phone': '1795954823', 'price': 1500}"
city-3,area-0,"{'name': 'clnmqfiyh', 'phone': '6174699353', 'price': 1500}"
city-3,area-0,"{'name': 'wfkekqdbykynb', 'phone': '7233253830', 'price': 2000}"
city-3,area-0,"{'name': 'ckvbjdylsnfq', 'phone': '9309169903', 'price': 1500}"
city-3,area-0,"{'name': 'nxekxkz', 'phone': '6166552229', 'price': 1000}"
city-3,area-0,"{'name': 'mekrxedx', 'phone': '6290753490', 'price': 1000}"
city-3,area-0,"{'name': 'orvdwckibybmi', 'phone': '3356772652', 'price': 1000}"
city-3,area-0,"{'name': 'uidumiqex', 'phone': '9921101255', 'price': 1500}"
city-3,area-1,"{'name': 'saxsfwhx', 'phone': '2796859048', 'price': 2500}"
city-3,area-2,"{'name': 'ojjfphsegvzoqh', 'phone': '2394995840', 'price': 2000}"
city-3,area-2,"{'name': 'ndaottjne', 'phone': '4306421045', 'price': 2500}"
city-3,area-2,"{'name': 'itdrxouucgtoo', 'phone': '1937774408', 'price': 1000}"
city-3,area-2,"{'name': 'rwfduaqglw', 'phone': '1549256574', 'price': 2000}"
city-3,area-2,"{'name': 'oincdozwifarnq', 'phone': '1872609941', 'price': 1500}"
city-3,area-2,"{'name': 'lmxpoel', 'phone': '8898257916', 'price': 1000}"
city-3,area-2,"{'name': 'sbegqarhil', 'phone': '5347511052', 'price': 2500}"
city-3,area-3,"{'name': 'qyqnmqworbvk', 'phone': '1992180568', 'price': 1000}"
city-3,area-3,"{'name': 'ixcjwqafw', 'phone': '1124776870', 'price': 2000}"
city-3,area-3,"{'name': 'gnaauizxvk', 'phone': '8458644627', 'price': 1000}"
city-3,area-3,"{'name': 'muhcsskkf', 'phone': '2535384193', 'price': 1000}"
city-3,area-3,"{'name': 'dkrggnhwv', 'phone': '3974533789', 'price': 1000}"
city-3,area-3,"{'name': 'gsyfboruvqrjwq', 'phone': '7916808316', 'price': 1000}"
city-3,area-3,"{'name': 'ajtywpprgawpxh', 'phone': '4223840928', 'price': 1500}"
city-3,area-3,"{'name': 'ymfnvxbtyjgadj', 'phone': '4114683478', 'price': 1500}"
city-3,area-3,"{'name': 'mzbiljv', 'phone': '2537580915', 'price': 2500}"
city-3,area-3,"{'name': 'gzwfbmyqqjuu', 'phone': '4533077264', 'price': 2000}"
city-3,area-4,"{'name': 'tbqqvimjs', 'phone': '1786623862', 'price': 2000}"
city-3,area-5,"{'name': 'hsdqocfhbpfvux', 'phone': '2603656843', 'price': 1000}"
city-3,area-5,"{'name': 'iptwxbayr', 'phone': '4958244129', 'price': 2500}"
city-3,area-5,"{'name': 'oxfepbufddgeih', 'phone': '3837819043', 'price': 1500}"
city-3,area-5,"{'name': 'geecxusc', 'phone': '5609000394', 'price': 2500}"
city-3,area-5,"{'name': 'myyjpwzxbbt', 'phone': '5347400321', 'price': 2500}"
city-3,area-5,"{'name': 'ibujyhtifzuk', 'phone': '8920835000', 'price': 1000}"
city-3,area-6,"{'name': 'izqvvasdvnrq', 'phone': '5076407216', 'price': 1000}"
city-3,area-6,"{'name': 'kcawvmohy', 'phone': '4071132098', 'price': 1500}"
city-3,area-6,"{'name': 'wzuvngimxhdqj', 'phone': '9961241211', 'price': 2500}"
city-3,area-6,"{'name': 'hkmfwqryxkyrbi', 'phone': '2227448080', 'price': 2500}"
city-3,area-6,"{'name': 'yaxscrtplplit', 'phone': '8692616888', 'price': 1500}"
city-3,area-6,"{'name': 'dwnkmzkanlslwm', 'phone': '9186976550', 'price': 2000}"
city-3,area-6,"{'name': 'evltmgmygji', 'phone': '3849461619', 'price': 2000}"
city-3,area-6,"{'name': 'avvpxxrf', 'phone': '5012787198', 'price': 1000}"
city-3,area-6,"{'name': 'goxyfqsuwgrk', 'phone': '9834515245', 'price': 2000}"
city-3,area-7,"{'name': 'yhouswjbzuzbo', 'phone': '3769574020', 'price': 1000}"
city-3,area-7,"{'name': 'houwwmn', 'phone': '2353665567', 'price': 2500}"
city-3,area-7,"{'name': 'npywnorz', 'phone': '1657990293', 'price': 2000}"
city-3,area-8,"{'name': 'nhqfvjxger', 'phone': '5384027176', 'price': 1500}"
city-3,area-8,"{'name': 'zxkoyomndnlz', 'phone': '3885542419', 'price': 1500}"
city-3,area-8,"{'name': 'qbojspnoa', 'phone': '2350360840', 'price': 2000}"
city-3,area-8,"{'name': 'chhxhhv', 'phone': '5396170905', 'price': 1000}"
city-3,area-8,"{'name': 'qognomdm', 'phone': '4426628751', 'price': 1500}"
city-3,area-8,"{'name': 'gfdxfcffqh', 'phone': '9068314105', 'price': 2000}"
city-3,area-8,"{'name': 'phlgsbij', 'phone': '1481299206', 'price': 1000}"
city-3,area-8,"{'name': 'soyabwkin', 'phone': '3660679194', 'price': 2000}"
city-3,area-8,"{'name': 'wjfsmdefp', 'phone': '3090950579', 'price': 2000}"
city-3,area-9,"{'name': 'gbkhyoe', 'phone': '1383369940', 'price': 1500}"
city-3,area-9,"{'name': 'kinaogovi', 'phone': '4021608036', 'price': 2000}"
city-3,area-9,"{'name': 'sxxmjyxkjp', 'phone': '7062776966', 'price': 1000}"
city-3,area-9,"{'name': 'dfpoxkjdblorq', 'phone': '7832549925', 'price': 1000}"
city-3,area-9,"{'name': 'gykhthbiuqtzit', 'phone': '4739261267', 'price': 2000}"
city-3,area-9,"{'name': 'dleudwrzjru', 'phone': '1841540584', 'price': 2500}"
city-3,area-9,"{'name': 'oofvobcnwmg', 'phone': '9850227911', 'price': 1500}"
city-3,area-9,"{'name': 'qujmofvcqljdy', 'phone': '1515687518', 'price': 2500}"
city-3,area-9,"{'name': 'myswrbupliaxwc', 'phone': '7009232809', 'price': 1500}"
city-4,area-0,"{'name': 'jlskxidypxl', 'phone': '1104203667', 'price': 2000}"
city-4,area-0,"{'name': 'sqbqexdaojzib', 'phone': '2788561457', 'price': 1500}"
city-4,area-0,"{'name': 'feevgvusfot', 'phone': '9842089489', 'price': 2000}"
city-4,area-0,"{'name': 'hxyvhqdvnsset', 'phone': '7572692993', 'price': 2500}"
city-4,area-0,"{'name': 'ibedlrmfr', 'phone': '6841629292', 'price': 1000}"
city-4,area-0,"{'name': 'orgbtwpcshffmi', 'phone': '5868595445', 'price': 2000}"
city-4,area-0,"{'name': 'navowgllys', 'phone': '1871754508', 'price': 2500}"
city-4,area-0,"{'name': 'gvdtlxr', 'phone': '3417219542', 'price': 2000}"
city-4,area-0,"{'name': 'vklzatyihvvqdh', 'phone': '4820943799', 'price': 2000}"
city-4,area-1,"{'name': 'qlnjmjkya', 'phone': '3305466527', 'price': 2000}"
city-4,area-1,"{'name': 'mylqlxeimd', 'phone': '4093604182', 'price': 1500}"
city-4,area-1,"{'name': 'dvyxklxgcsl', 'phone': '5773363333', 'price': 2000}"
city-4,area-1,"{'name': 'amwmkfkkk', 'phone': '5212738089', 'price': 2000}"
city-4,area-2,"{'name': 'vohgbkrmejp', 'phone': '6026558594', 'price': 2500}"
city-4,area-2,"{'name': 'bloiizcoj', 'phone': '5063898520', 'price': 1000}"
city-4,area-2,"{'name': 'tbgtslza', 'phone': '7050564229', 'price': 1000}"
city-4,area-2,"{'name': 'eryjgtyihvvq', 'phone': '1975865412', 'price': 2000}"
city-4,area-2,"{'name': 'msxmyskbajtyw', 'phone': '7537028184', 'price': 1500}"
city-4,area-2,"{'name': 'iphvyzfjxeqxks', 'phone': '8787065025', 'price': 2000}"
city-4,area-2,"{'name': 'tjdswhkuuwfvjq', 'phone': '1271279669', 'price': 1000}"
city-4,area-2,"{'name': 'alcwutaeq', 'phone': '3108474686', 'price': 2000}"
city-4,area-2,"{'name': 'uwsncccopsd', 'phone': '1754851834', 'price': 2000}"
city-4,area-2,"{'name': 'ayixjpmcdq', 'phone': '4433788634', 'price': 2000}"
city-4,area-3,"{'name': 'lvqvdeowz', 'phone': '5557205298', 'price': 2500}"
city-4,area-3,"{'name': 'djgvefk', 'phone': '8463372768', 'price': 2500}"
city-4,area-3,"{'name': 'xfroetukyegv', 'phone': '7726065185', 'price': 1500}"
city-4,area-3,"{'name': 'ufsmkedrny', 'phone': '1021709803', 'price': 2500}"
city-4,area-3,"{'name': 'kzidppueqayv', 'phone': '3221353861', 'price': 2500}"
city-4,area-3,"{'name': 'stuhpfurbzht', 'phone': '9690119937', 'price': 2000}"
city-4,area-3,"{'name': 'pfanwloko', 'phone': '9023487755', 'price': 1500}"
city-4,area-3,"{'name': 'kkrycckrtf', 'phone': '6538195674', 'price': 1500}"
city-4,area-4,"{'name': 'jrzlrojl', 'phone': '6855295042', 'price': 2000}"
city-4,area-4,"{'name': 'wqfulfjldqgoom', 'phone': '2992186522', 'price': 1500}"
city-4,area-4,"{'name': 'fvtnoiqyoekt', 'phone': '2691895169', 'price': 1500}"
city-4,area-4,"{'name': 'higskksbzjnh', 'phone': '8595879040', 'price': 2500}"
city-4,area-4,"{'name': 'zyfrmle', 'phone': '8463064136', 'price': 1000}"
city-4,area-4,"{'name': 'ohqxaaq', 'phone': '9717177813', 'price': 1000}"
city-4,area-4,"{'name': 'mcjtoviani', 'phone': '2460703461', 'price': 1500}"
city-4,area-5,"{'name': 'lzjnjudujrsoqy', 'phone': '4716070679', 'price': 1000}"
city-4,area-5,"{'name': 'ujvvvrxdufs', 'phone': '8309253493', 'price': 2000}"
city-4,area-6,"{'name': 'imyekjlmx', 'phone': '3913197036', 'price': 2000}"
city-4,area-6,"{'name': 'jyfricsxni', 'phone': '3656942929', 'price': 2000}"
city-4,area-6,"{'name': 'uounpqwdleirn', 'phone': '4687344882', 'price': 1000}"
city-4,area-6,"{'name': 'stbxifmpyxwmx', 'phone': '8325417450', 'price': 2500}"
city-4,area-6,"{'name': 'jiyxgawwmvi', 'phone': '6534690266', 'price': 2500}"
city-4,area-6,"{'name': 'cvdmbcftf', 'phone': '3950428637', 'price': 1000}"
city-4,area-6,"{'name': 'ydlbjhxhrbdqcd', 'phone': '3983600151', 'price': 1500}"
city-4,area-7,"{'name': 'tooonjgabbvygw', 'phone': '7126364549', 'price': 2000}"
city-4,area-7,"{'name': 'ewbisjg', 'phone': '3542964641', 'price': 2000}"
city-4,area-8,"{'name': 'oddllqf', 'phone': '9223056110', 'price': 1500}"
city-4,area-8,"{'name': 'zrjurqsbn', 'phone': '1945879999', 'price': 1500}"
city-4,area-8,"{'name': 'sssvnucgbsx', 'phone': '1810678959', 'price': 1500}"
city-4,area-9,"{'name': 'owhdizab', 'phone': '1508395204', 'price': 1000}"
city-4,area-9,"{'name': 'udubkqocsur', 'phone': '6968277660', 'price': 2000}"
city-4,area-9,"{'name': 'vsgpdywpmya', 'phone': '2655621641', 'price': 1500}"
city-4,area-9,"{'name': 'taputjbton', 'phone': '6192606474', 'price': 1000}"
city-4,area-9,"{'name': 'oqziuufods', 'phone': '2628976577', 'price': 1000}"
city-5,area-0,"{'name': 'hgxjneybl', 'phone': '9161323042', 'price': 1500}"
city-5,area-0,"{'name': 'cffglgapxqmf', 'phone': '4323518277', 'price': 1000}"
city-5,area-1,"{'name': 'jbvrxujq', 'phone': '8555503623', 'price': 1000}"
city-5,area-1,"{'name': 'ndcljspdbxo', 'phone': '2598826862', 'price': 2500}"
city-5,area-1,"{'name': 'cpwiuygsx', 'phone': '3172015537', 'price': 1000}"
city-5,area-1,"{'name': 'jkxrqot', 'phone': '4062899854', 'price': 1000}"
city-5,area-1,"{'name': 'yqcwxvm', 'phone': '4091123162', 'price': 1500}"
city-5,area-1,"{'name': 'perbvsow', 'phone': '9357454621', 'price': 1000}"
city-5,area-1,"{'name': 'xznqrtt', 'phone': '2953642062', 'price': 2500}"
city-5,area-1,"{'name': 'nyjhhzpbzdmk', 'phone': '9721768473', 'price': 2000}"
city-5,area-1,"{'name': 'uleibtrhvriwi', 'phone': '5785334783', 'price': 1000}"
city-5,area-1,"{'name': 'klccyufoqbixv', 'phone': '3230390729', 'price': 1000}"
city-5,area-2,"{'name': 'hgcvpdxnjle', 'phone': '9270439257', 'price': 2500}"
city-5,area-2,"{'name': 'gitenrrc', 'phone': '4587230737', 'price': 1000}"
city-5,area-2,"{'name': 'jafraig', 'phone': '4982404657', 'price': 2000}"
city-5,area-2,"{'name': 'foonmcpbr', 'phone': '1983001575', 'price': 1500}"
city-5,area-2,"{'name': 'wdqekgi', 'phone': '2452964535', 'price': 2000}"
city-5,area-2,"{'name': 'hneskojlafnx', 'phone': '6493687423', 'price': 2000}"
city-5,area-3,"{'name': 'bkeyzsxhtbbfy', 'phone': '4585662564', 'price': 1000}"
city-5,area-3,"{'name': 'oopyrjrfozeo', 'phone': '5876683168', 'price': 1000}"
city-5,area-3,"{'name': 'mnbvanqrlaiehz', 'phone': '6634361488', 'price': 1000}"
city-5,area-4,"{'name': 'mbyovmxqzfohg', 'phone': '1178463355', 'price': 2500}"
city-5,area-4,"{'name': 'uqtbrqjdvrphn', 'phone': '5962800818', 'price': 1500}"
city-5,area-4,"{'name': 'yafvhdbmaje', 'phone': '8183226932', 'price': 2000}"
